City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,29.08,52,2,8.01,RO,1732555447
1,kodiak,57.79,-152.4072,26.11,93,0,3.44,US,1732555394
2,waitangi,-43.9535,-176.5597,55.81,96,67,5.01,NZ,1732555353
3,khandyga,62.6667,135.6,-23.33,99,24,2.53,RU,1732555538
4,saipan,15.1355,145.701,83.1,86,40,18.41,MP,1732555539
5,punta arenas,-53.15,-70.9167,51.91,54,0,10.36,CL,1732555287
6,veinticinco de mayo,-35.4323,-60.1727,79.99,69,48,8.99,AR,1732555541
7,yellowknife,62.456,-114.3525,16.32,92,100,13.8,CA,1732555542
8,port-aux-francais,-49.35,70.2167,40.73,93,84,38.3,TF,1732555497
9,flying fish cove,-10.4217,105.6791,82.42,77,92,4.41,CX,1732555545
10,ulsteinvik,62.3432,5.8487,49.1,84,100,8.61,NO,1732555546
11,vorgashor,67.5833,63.95,19.53,92,100,20.54,RU,1732555547
12,stanley,54.868,-1.6985,42.82,78,20,20.71,GB,1732555548
13,ravenna,44.4167,11.9833,48.88,85,93,1.92,IT,1732555549
14,port mathurin,-19.6833,63.4167,77.09,74,5,16.42,MU,1732555550
15,edinburgh of the seven seas,-37.0676,-12.3116,54.7,68,59,11.97,SH,1732555551
16,hamilton,39.1834,-84.5333,62.04,77,100,12.66,US,1732555552
17,hermanus,-34.4187,19.2345,62.8,78,89,20.71,ZA,1732555553
18,vipiteno,46.8925,11.4301,33.21,100,50,6.08,IT,1732555555
19,las choapas,17.9333,-94.0833,74.03,79,8,4.0,MX,1732555556
20,adamstown,-25.066,-130.1015,71.83,78,14,16.17,PN,1732555557
21,mana,5.6592,-53.7767,83.91,69,27,11.54,GF,1732555558
22,muynoq,43.7683,59.0214,38.7,75,5,3.83,UZ,1732555559
23,leava,-14.3,-178.1667,81.27,79,96,12.37,WF,1732555560
24,albany,42.6001,-73.9662,44.92,55,24,4.0,US,1732555246
25,barra do corda,-5.5,-45.25,98.82,36,63,1.43,BR,1732555562
26,terrace,54.5163,-128.6035,17.51,62,40,23.02,CA,1732555563
27,fale old settlement,-9.3852,-171.2468,83.5,73,98,17.96,TK,1732555564
28,bethel,41.3712,-73.414,50.61,49,0,8.05,US,1732555565
29,margaret river,-33.95,115.0667,52.66,60,3,10.27,AU,1732555567
30,grand falls-windsor,48.9332,-55.6649,43.5,95,100,1.99,CA,1732555568
31,dunedin,-45.8742,170.5036,51.8,83,42,5.01,NZ,1732555569
32,benoy-yurt,43.69,45.05,43.0,72,100,3.49,RU,1732555570
33,tiksi,71.6872,128.8694,2.89,58,62,29.06,RU,1732555571
34,ust-nera,64.5667,143.2,-27.02,99,55,4.36,RU,1732555572
35,sola,-13.8833,167.55,81.19,80,100,7.34,VU,1732555573
